Deposco Configuration Task List,,,,,,,,,
Product / Task Group,Task,SOW Notes,In Scope,Post Design - Configuration Notes,Owner,Status,% Complete,,
Outbound ,Single Scan Packing,"- Setup and configuration for packing and shipping processes
- Packing w/ a stage option, attc to close out",TRUE,"- All else through single scan packing with close ship/generate ship label = false 
- Stage after pack to a location in PWS Staging Zone – if first work group finished in an order can stage anywhere in zone else stage to location where other boxes for order are staged (We will need to add business rules to tell the user where to stage the box. This will be the auditing step

- Screen Change – Add a total count of items in box below the listbox. Just a text field for the count 
Like Total: 50 in blue makes sense
Stage after SSPack with logic identified above 
Remove dims screen 

",Johnny,,0%,,
Outbound ,Single Container Packing (Parcel Only) ,"- Setup and configuration for packing and shipping processes
- Used for Case Lots",TRUE,"- Case Lots will go through single container packing
- Create parcel labels but still do not close 
- Autopopulate carton type
- Use weight for scale 
",Johnny,,0%,,
Outbound ,Shipping,"- Setup and configuration for packing and shipping processes
- Packing w/ a stage option, attc to close out",TRUE,"- No signature required 
- No Saturday Shipping 
- TP flag for insurance required 
- LPN and Order Number for label in shipping option (FedEx) 
- Interrupt/hold flag (Rules to prevent user from shipping an orer that has the interrups/hold flag enabled)
- Add “Payment Status” field that validates if an order is ready to be packed (Add rule to prevent order from being packed out if Payment status is not there)
- We need to set a dashboard to display which orders can go through the generation of label process

",Johnny,,0%,,
Outbound ,Assign Trip To Containers,- Process To close out the shipments at the end of day,TRUE,"Assign Trip Button #1: 
“Parcel Assign Trip” → select carrier as dock door, scan box license plate to pallet – keep adding to it throughout the day → close when truck is gone 
- Add business rules to prevent assigning orders with a specific ship vendor to incorrect door. Eg: Fedex goes to FedEx",Johnny,,0%,,
Outbound ,Assign Trip To Containers,- Process To close out the shipments at the end of day,TRUE,"Assign Trip Button #2: 
- “Freight Assign Trip” → more common scenario 
- Need a button to print BOL outside of Assign Trip based on LPN 

",Johnny,,0%,,
Outbound ,Rate Shopping,Rate shopping at packing across licensed parcel carriers,TRUE,- We need to decide when we need rate shopping to be triggered,Johnny,,0%,,
Outbound ,Void Labels,Void Labels,TRUE,,,,,,
Other,Shipping Documents/Labels,(no notes),TRUE,"- Shipping Labels after single container packing
- BOL at the end of freight shipping (ATTC Button 2)",Johnny,,0%,,
Setup,System Admin,(no notes),TRUE,,Johnny,,0%,,
Setup,Data Maintenence ,"Support for preliminary master data setup and data exchange import templates. 
- locations and zones
- inbound orders
- items and packs",TRUE,"Data Exchanges for Manifest especified at the first rows of this file
- Storage Upload
- Location Zones
- Stock Unit
Printer Resources and Assignments
- Item Upload",Johnny,,0%,,
Bright Socket Configuration (T&M),,,,,,,,,
Configure,API Support,"Support for use of Deposco's REST API by ecoATM team who will be building the connection between Deposco and ecoATM systems.
Refer to integration diagram for endpoints in scope.
***Includes an additional 20 hours for new API for serialized item grading conversions.
***Any additional hours needed will require SOW/CR",TRUE,"This is on Brian. Once we have the APIs built up we will be able to test some scenarios. 
We will communicate with you once this is ready for you to test through postman",Brian,,0%,,
Configure,UPS,(no notes),TRUE,On ecoATM to set up carrier account ,ECOATM,In Progress,50%,,
Configure,FedEx,(no notes),TRUE,On ecoATM to set up carrier account ,ECOATM,In Progress,50%,,
Configure,DHL,(no notes),TRUE,On ecoATM to set up carrier account ,ECOATM,In Progress,50%,,
Configure,Stamps.com (USPS),(no notes),TRUE,On ecoATM to set up carrier account ,ECOATM,In Progress,50%,,
Bright Performance Configuration (T&M),,,,,,,,,
Standard Dashboard and Reporting,Company Reports/Report Builder,(no notes),TRUE,"Scheduled Email Reports
Report of encumbrance and count of associated items
Aging inventory report for each of the testing locations 
Report of units/IMEI in contact sales location with the incumbrance detail and Manifest Number

Report Builder Reports
Orders shipped by date range with filters for zones.
Stock on hand reports with filters for zones and locations
Count of items on order compared to count of items in container for Items in Contact Sales Location Report



",,,0%,,
Standard Dashboard and Reporting,Report Scheduling,(no notes),TRUE,ECOATM to decide which reports and when to send the reports,,,0%,,
Standard Dashboard and Reporting,Dashboards,(no notes),TRUE,"We will need to set the following dashboards:
- Inbound
- Outbound
- Sortation
- PAcking/Shipping
- Inventory

Requests of Widgets
Orders Shipped per Day
Shipments created per Day
Aged Orders
Number of units and orders unshipped
Open orders
Orders on hold
Stock Unit On Hold
Sale Summary widget 
Count of items in each process in warehouse (testing, received, sorted) (Report of units/IMEI in contact sales location with the incumbrance detail and Manifest Number)
Summary 
Drilled in version
Ready to ship orders

",,,0%,,
Dashboard and Reporting add-on,Report Scheduling,(no notes),TRUE,,,,0%,,
Dashboard and Reporting add-on,Data Archive,(no notes),TRUE,We will dump data at the EOD to their snowflake instance. We will need to make sure we set up the connection in a successful way. Check CLPK for reference,,,0%,,
